Country,Code,Year,Percentage of graduates from Science and Technology programmes in tertiary education who are female (%)
Uruguay,URY,2008,47.80316162
Uruguay,URY,2009,44.56613159
Uruguay,URY,2010,44.31238937
Uzbekistan,UZB,2006,25.30754089
Uzbekistan,UZB,2007,24.85685921
Uzbekistan,UZB,2008,23.60227966
Uzbekistan,UZB,2009,23.90307045
Uzbekistan,UZB,2010,25.62343025
Uzbekistan,UZB,2011,28.11886978
Venezuela,VEN,2000,42.80570984
Vietnam,VNM,2005,19.99175072
Vietnam,VNM,2007,24.25650024
Vietnam,VNM,2008,22.42930031
Vietnam,VNM,2009,24.33625031
Vietnam,VNM,2010,23.48510933
Vietnam,VNM,2012,25.24752998
Vietnam,VNM,2013,31.04920959
Vietnam,VNM,2014,35.06877899
Zimbabwe,ZWE,2010,19.36121941
Zimbabwe,ZWE,2011,26.83864021
Zimbabwe,ZWE,2012,26.97084045
Zimbabwe,ZWE,2013,30.03992081
